"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc08g007540.2.1",0.0130329475213456,0.159061388171217,0.000974312098733333,7.70688364116156e-05,1.70380230176146e-06,0.0173221046726336
"Solyc06g068950.2.1",0.000304963196724633,1,0.000110501958573652,0.00105991552065351,0.0162655932506561,0.000166649278732769
"Solyc02g087840.2.1",0.111161526126581,1,0.000163819794176651,0.0610506209956634,1.15852332135192e-05,0.00357721654198518
"Solyc00g217560.1.1",1,0.0659238858179548,0.0284859016611399,0.0456073063603941,0.0236903848896127,1
"Solyc11g018580.1.1",1,1,0.207712573445406,1,0.00201038004096050,0.0383049574702725
"Solyc11g008490.1.1",0.0146295670229503,0.0417324981891125,5.91425225807637e-05,0.000731141111835199,0.000166058591690671,3.32951109548678e-05
"Solyc10g008730.2.1",1,0.000441150291981615,0.083651783725963,0.238852308873453,1,0.253570686391355
"Solyc12g006220.1.1",0.0373267826166626,0.0373267826166626,0.271499046015933,1,0.66945976213244,0.66945976213244
"Solyc12g009990.1.1",0.0543560544953977,0.0376431304818662,2.06369843959903e-05,1,0.00065534518563482,0.052978044919
"Solyc09g074100.2.1",0.00716155389761023,1,0.0571350707370579,0.00247395681365534,1,0.0176597142927554
"Solyc01g111650.2.1",1,1,0.00099029428540224,1,0.0377093874984213,0.00245400834393643
"Solyc10g086580.1.1",1,1,0.000837860180986181,1,0.000129615880198857,0.00126397218382453
"Solyc01g108000.2.1",1,5.0850597144682e-06,0.0495761755840752,1.70245190858820e-05,0.512634947983015,1.93464948138585e-06
"Solyc04g055120.2.1",0.000638159992039092,0.00160086030438099,0.317620138922589,1,1,1
"Solyc05g013710.2.1",0.71497719404557,1,0.0181467130257776,1,0.0733540105284178,0.167044489311866
"Solyc05g005710.2.1",0.0674798280176172,0.119688741275131,0.405640602581306,1,0.00917339538796897,0.0114642681882551
"Solyc03g083730.1.1",1,1,0.0113429504149663,1,0.0505505290110697,0.0130803583870913
"Solyc09g098770.1.1",1,0.00469510270188767,9.30459474925226e-05,0.000352431228162096,0.000105140226421818,5.15578544511309e-05
"Solyc01g081340.2.1",1,1,0.00117302779715024,1,0.00502158141858342,0.00121433060491118
"Solyc03g113220.2.1",0.609729775755508,0.0546327941634903,1,0.0126812374144358,1,0.0152838577612918
"Solyc08g078070.2.1",0.281279037299068,1,0.0036401575263172,0.0190670218105867,2.01753132238541e-05,0.00196275858812912
"Solyc02g071920.2.1",1,1,0.101693066732724,1,0.039907070752429,0.00161763033571639
"Solyc05g008600.2.1",0.5404207831145,1,0.00337147119275935,1,0.0389506205694075,0.0149845369809259
"Solyc01g009670.2.1",0.226608733532291,0.313921866587674,0.21332308548604,1,0.00140937502841161,0.00450087631931288
"Solyc08g067870.1.1",0.0267008995508718,1,0.0112933695369025,0.450960846796008,0.000373043107900057,0.0182820820592873
"Solyc01g111780.2.1",1,1,0.00296943422229317,1,0.000460549181574529,0.0065769626444037
"Solyc09g082780.2.1",0.023196535118885,0.0177204211667249,1,1.83394955946844e-05,0.0149679205721805,0.00176936695154897
"Solyc04g054480.2.1",0.384540688991037,1,1.46430119361585e-05,1,0.000762739334261142,9.5210326269123e-05
"Solyc09g064430.2.1",0.100096558380384,0.132112248644217,1,1,0.0258725098776288,0.0286915190746136
"Solyc08g081300.2.1",1,0.303587376024627,0.735855759155275,1,0.0416812768811833,0.0107875310734552
"Solyc06g050610.1.1",0.00493184221164403,1,0.000437644178642313,0.208504616218075,1,0.0324539163264181
"Solyc04g016400.2.1",1,0.0423276280324692,0.000999147919986786,0.0406312703346182,0.0180481914764714,0.000422067807464782
