"","SLY","SPI","SHA","SPE"
"Solyc03g114810.2.1",43.2857142857143,32.8571428571429,32.2857142857144,37.1428571428571
"Solyc07g042730.2.1",17.4285714285714,15.4285714285728,19.2857142857198,24
"Solyc09g065730.2.1",59.1428571428573,73.2857142857145,97.7142857142861,50.4285714285715
"Solyc04g082470.1.1",52.142857142858,66.2857142857927,57.2857142857152,35.0000000000011
"Solyc02g069380.2.1",12.1428571428631,11.4285714285715,10.4285714285714,25.2857142857143
"Solyc11g005390.1.1",4.14285714286244,5.71428571428571,6,4.28571428571429
"Solyc01g111860.2.1",28.7142857142858,29.4285714285715,25.5714285714286,37.4285714285714
"Solyc06g008090.2.1",21.2857142857199,19.2857142857147,13.0000000000000,18.0000000000031
"Solyc11g068420.1.1",337.000000000000,491.285714285714,492.285714285714,349.714285714286
"Solyc08g065950.1.1",9.57142857143326,5.71428571445419,10.2857142871529,14.2857142857837
"Solyc05g055830.2.1",10.1428571428575,15.5714285714292,9.57142857165953,11.5714285714286
"Solyc11g008450.1.1",12.8571428577207,10.0000000000106,10.4285714285964,13.4285714285768
"Solyc03g032120.2.1",6.57142857142857,9.28571428590386,8.8571428681964,9.1428571432089
"Solyc06g009360.1.1",8.85714285714285,5.71428571428571,7,9.7142857142857
"Solyc07g043060.1.1",5.60279643655429e-10,5.60279643753728e-10,3.14285714285712,5.60279643753979e-10
"Solyc05g010340.2.1",5.42857143042864,5.42857143726173,5.14285714286007,7.85714285714285
"Solyc04g078340.2.1",1.85714285845061,3.14285714285714,1.57142860180225,77.2857142857142
"Solyc01g091950.2.1",109.571428571428,107.857142857143,126.571428571428,184.428571428571
"Solyc11g010240.1.1",81.2857142857142,85.142857142857,106.857142857143,74.7142857142857
"Solyc07g049590.2.1",19.2857142857143,21.0000000000001,29.1428571428572,20.2857142857143
"Solyc04g074700.2.1",38.2857143022924,22.7142857147539,25.0000000213499,49.2857142859646
"Solyc11g010470.1.1",673.142857142857,648.142857142857,577,477.857142857143
"Solyc03g118970.2.1",67.5714285714285,78.7142857142856,101.428571428571,51.2857142857142
"Solyc03g120980.2.1",309.857142857143,132.428571428572,58.4285714285715,59.8571428571429
"Solyc10g008680.1.1",7.42857142857142,1.14285714285714,4.13993771878899e-09,0.142857142857143
"Solyc01g111130.2.1",29.8571428571429,29.4285714285714,23.1428571428571,25.7142857142859
"Solyc12g042960.1.1",1.12535174718962e-08,2.85714285714287,0.428571428571427,1.42857142857143
"Solyc06g016790.1.1",26.7142857142858,18.5714285714287,19.1428571428572,37.4285714318472
"Solyc02g086170.2.1",7.14285714287436,8.28571428573617,8.14285715167293,29.1428571428572
"Solyc10g012160.2.1",15.4285714285832,19.2857142857787,26.0000000000047,15.5714285714751
"Solyc03g111850.2.1",30.8571428571436,44.4285714285715,52.5714285714286,42.4285714285782
"Solyc01g097360.2.1",17.4285714285716,20.7142857142857,15.4285714285933,28.8571428571429
"Solyc01g014230.2.1",45.8571428571428,38.7142857142857,49.0000000000000,56.8571428571428
