"","spe"
"Solyc08g078070.2.1",8.59476745974375e-07
"Solyc01g056780.2.1",0.235384978218727
"Solyc02g071920.2.1",0.00301018746828324
"Solyc05g008600.2.1",0.00101327344984958
"Solyc01g009670.2.1",0.000558690041639975
"Solyc08g067870.1.1",2.67871934730069e-05
"Solyc02g068560.2.1",0.0326336180017871
"Solyc01g111780.2.1",0.000139081181573288
"Solyc06g082890.2.1",1
"Solyc09g082780.2.1",9.34689993608006e-07
"Solyc04g054480.2.1",2.18005780637938e-07
"Solyc11g067180.1.1",1
"Solyc06g071460.2.1",1
"Solyc12g005760.1.1",0.576641903567283
"Solyc01g109120.2.1",1
"Solyc10g086490.1.1",0.717715847944169
"Solyc09g072790.2.1",0.341184881391548
"Solyc09g064430.2.1",0.00545191928740287
"Solyc06g074660.1.1",1
"Solyc04g005430.2.1",1
"Solyc03g117040.2.1",0.217852547764038
"Solyc08g081300.2.1",0.00641353662203684
"Solyc08g082490.1.1",1
"Solyc07g055300.2.1",0.0153708176185975
"Solyc02g086520.2.1",1
"Solyc03g114760.2.1",0.349132473049024
"Solyc06g050610.1.1",0.000364365658014644
"Solyc04g016400.2.1",5.00715842664272e-06
"Solyc08g068260.1.1",0.215966537431178
"Solyc02g089100.2.1",1
"Solyc09g014940.1.1",1.78485149294179e-07
"Solyc04g082770.2.1",0.20814806801061
"Solyc03g025940.1.1",0.204560421455193
"Solyc06g008700.2.1",2.15433023291334e-06
"Solyc01g080050.2.1",1
"Solyc08g008200.1.1",0.122183769523227
"Solyc01g090590.2.1",4.07486262587474e-05
"Solyc07g032740.2.1",1
"Solyc02g078040.2.1",0.209761906321705
"Solyc05g051220.2.1",0.332179516917673
"Solyc02g086310.1.1",1
"Solyc01g009290.2.1",0.957093477698976
"Solyc08g080470.2.1",0.555170284063235
"Solyc04g050440.2.1",7.93139038818785e-07
"Solyc02g083260.2.1",0.0966242214188953
"Solyc04g074090.2.1",8.3477112363999e-09
"Solyc01g014320.2.1",0.00125435006272863
"Solyc10g006770.2.1",1
"Solyc02g079950.2.1",0.00334656671488383
"Solyc05g056520.2.1",1
"Solyc01g099380.2.1",2.47950739368002e-05
"Solyc01g065540.2.1",0.0194149305081252
"Solyc03g083960.2.1",1.86826012135569e-09
"Solyc09g061270.2.1",0.332895698624314
"Solyc09g010660.2.1",0.0509487079660742
"Solyc06g035960.2.1",0.0003916120653495
"Solyc08g078750.2.1",0.73513815838065
"Solyc12g017520.1.1",1
"Solyc02g037530.2.1",0.108227206850565
"Solyc01g090270.2.1",0.00150226494774473
"Solyc10g046770.1.1",0.000128234355156847
"Solyc05g055480.2.1",0.000877717245689278
"Solyc02g077910.2.1",1
"Solyc02g036340.2.1",1
"Solyc03g114470.2.1",2.69304752404639e-06
"Solyc11g068620.1.1",0.0741602844956352
"Solyc04g025680.1.1",1
